gene,stability_freq,perm_importance_mean
Nat1,2,0.0011340967863122998
Gm14418,2,0.0011305920907409672
F730311O21Rik,2,0.0011226467917862081
Serpinh1,2,0.0011086493679277165
S1pr5,2,0.0010869664001122992
Serinc2,3,0.0010744474715912889
Slc47a1,3,0.0010728509036745716
Tnc,3,0.0010653086254425737
Gm48582,2,0.001064613702210204
Actr3b,3,0.0010589852635097818
Marco,2,0.001057647302426812
Ccl12,4,0.0010565265973927819
Duoxa1,2,0.001053530738950159
Btk,2,0.0010487078399945336
Atp1b1,2,0.0010486588198758361
Cyp11a1,2,0.001040238175783348
Rab27b,2,0.0010399430509022477
Bcl11b,3,0.0010391089504964922
Wipf3,2,0.0010311754849423483
Gm47644,2,0.001028754402847576
Cxcl14,2,0.0010258612873849438
Aurkb,3,0.001018991933126856
Art2b,1,0.0010116687617155895
Trim16,3,0.0010050379776386452
Pcdhb14,3,0.001004057079037779
Tesc,1,0.001003750646409418
Dusp14,3,0.0010014311202269253
Dhcr24,3,0.0009983836926035104
Stra6,2,0.000997442873687293
Eln,3,0.0009880804901726383
Kcnmb1,1,0.0009840345221535096
Cdca8,3,0.0009771499103350622
Ier3,2,0.0009603279949434219
Gabrd,2,0.000959418182136096
Tro,2,0.0009574625117622525
Rorb,2,0.0009573687775951023
Acsbg1,2,0.000946900500821446
Olfm1,4,0.0009366721008788881
Hist1h4i,3,0.0009347272042495081
Trim30b,2,0.0009309764815064958
Rbm20,1,0.0009263008191876087
Tmem79,1,0.0009227844149528597
Car4,2,0.000916527894818342
Fndc9,2,0.000912041441719802
Cd200r4,1,0.0009086899263048287
Itga2,2,0.000907748537837183
Myom1,3,0.0009055131166766373
Ccl2,2,0.0009037739078135209
Cd44,2,0.0009000918770374011
Kcna4,2,0.0008955529714901322
Erp27,2,0.0008888563986385378
Tcf7,3,0.0008881207157770965
Camk2b,1,0.0008711659613184432
Slc12a5,1,0.0008685378120024789
Gm10499,2,0.0008612868249011641
S100a1,2,0.0008487400785155198
Btc,2,0.00084186485530372
Ripk3,2,0.0008415994902657763
Tmem246,1,0.0008414397508702654
Adssl1,2,0.0008368367320889858
Klrb1c,1,0.0008273761260904511
Il1f8,1,0.0008235223547248593
Kcnk1,1,0.000823416567533164
Elovl4,2,0.0008211991902705828
Efcc1,1,0.0008205379282854807
Prkaa2,2,0.0008132328861989002
Cygb,1,0.000812202130403683
Adam23,1,0.0008114508795345699
Gm26881,2,0.0008102281938361155
AA914427,2,0.0008100125423326499
Klhl13,1,0.0008091201343075061
H2-Q7,2,0.0008075531629184729
Krt222,1,0.0007928323790652114
Gm5134,2,0.0007855378141487845
Colec11,2,0.0007851934806118231
Gm12250,1,0.0007825946367234548
Gm45819,1,0.0007813306702292743
Has1,2,0.0007810088310293839
Lilra5,1,0.00077777382449864
E430014B02Rik,1,0.0007671582475890503
Hoga1,2,0.0007650440094197908
Matn4,2,0.0007566108631784084
A530040E14Rik,2,0.0007561237700939527
Pimreg,1,0.0007542572608724595
Srpx,1,0.0007507838983725313
Il22ra2,2,0.0007476881830350224
Fam180a,2,0.0007440665543951952
Serpina1b,1,0.0007421383689389493
Ccsap,1,0.0007408883133949162
Pygm,1,0.0007407056381868893
Cux2,1,0.0007399011198313209
Ptgds,2,0.0007392250535037669
Apod,2,0.0007350401426905795
Prkcz,1,0.0007349722857695085
Pi15,2,0.0007339832890283283
Gm13830,3,0.0007272161523649399
Gm45104,3,0.0007247226877732272
Pla2g4e,3,0.0007228879806548294
Mycl,1,0.000722269781878615
Peli3,1,0.0007197442736712522
Opn3,1,0.0007178131914474362
C3,2,0.0007177184356489064
Col6a3,1,0.000717030927600515
Tnfrsf8,3,0.0007146832148584248
Asns,1,0.0007137615874671432
Slamf1,2,0.0007090755190511499
2610318N02Rik,2,0.0007043814057640208
Gm43305,2,0.0007022235810784539
Tmem45b,1,0.0006925758230439394
Mfge8,1,0.0006918544312061959
Pnmal2,2,0.0006901625138535206
Pcsk5,1,0.0006864082075222156
Prob1,1,0.0006837636240346279
Ly6g5b,1,0.0006805707146951944
Kctd14,1,0.0006801538944686047
Col4a1,1,0.0006748647484315362
Efemp1,1,0.000668718768488885
Zbp1,1,0.000665376243025062
Atg9b,1,0.0006638574377552775
Arc,1,0.00065927733228065
Arhgap4,1,0.0006550613289382334
Rida,1,0.0006542128265915936
Dmrta1,2,0.0006511579835517534
Ltf,3,0.0006484319348846856
AI854703,2,0.0006474960605385549
Vmn2r55,1,0.0006439793159639051
Peg3,1,0.0006413185945335909
Iglv2,2,0.0006404574543340757
Ighv1-78,1,0.0006394818164185634
Bmp1,2,0.0006367538284598906
Mfap3l,0,0.0006366018088165948
Ccdc92b,2,0.0006357128379569143
Gm30551,1,0.0006311192271375665
Cacna2d2,1,0.000630849271228684
1500009L16Rik,2,0.0006292754018088931
Clec1b,1,0.0006259782074809039
Ctla2b,1,0.0006198754810343932
Igfbp3,2,0.0006190286314518455
Siglec1,1,0.0006187240916511683
Cdh22,1,0.0006175062808278176
C7,2,0.000615579006289535
Gm2666,1,0.0006151243551252072
Gm33858,1,0.0006134523395254887
Arhgap22,1,0.0006118136429251186
D7Ertd443e,1,0.0006113590911051347
Ggt7,2,0.0006090340515613856
Paqr5,1,0.0006089948073027872
Gstp2,2,0.0006089315869595046
Smim3,1,0.0006078373568210504
Msln,1,0.000606092886807974
Scube3,2,0.0006048950848915657
Cxcl10,2,0.0006004315261631476
Kcna1,2,0.0006004253081258516
Pabpc1,1,0.0005954444111108015
Shisa9,1,0.0005945403983816822
Fosb,2,0.0005943429127868383
Cacna1h,2,0.0005940213975911046
Klrb1b,2,0.0005935928605812712
Dcst1,1,0.00059267085234882
Stmn1,1,0.000591592729696122
Ccl21a,1,0.0005891530904059472
Cpxm2,1,0.0005886336271628823
Mmp12,1,0.000588493994339756
Nr1d1,2,0.0005882402640858154
Crtac1,1,0.0005880759301007399
Myh3,1,0.0005874218428447153
P2ry12,0,0.0005850849775222988
Oas1e,1,0.0005846906372933724
Hmgcs2,1,0.0005841510982772969
Myo1b,1,0.0005841025186068105
AC122217.1,1,0.0005834381151010093
Sox11,0,0.0005833180135509042
Krt10,2,0.0005786756610206889
Vcam1,1,0.0005753209435579553
Ces2g,1,0.000575259773762693
Ass1,1,0.0005714826469242817
Col14a1,1,0.0005699680416978547
Hoxc4,2,0.0005695504126598917
Cdca2,1,0.0005694643648928132
Cd209e,1,0.0005684451415390868
H2-Aa,1,0.0005682718514736562
Pla2g2d,1,0.000566177876636853
Cilp,2,0.0005647147327972224
Rab38,1,0.0005647013342426677
Rasgrp1,0,0.0005631065006992508
Amhr2,1,0.0005618222630123127
Depp1,1,0.0005605902252900363
Ada,0,0.000558187000520205
Gimap4,0,0.0005574465858118715
Gm49307,1,0.0005503978479283855
Slc15a5,1,0.0005494443982932974
Il1b,2,0.000548647191466678
Gpx8,1,0.0005479779694486654
Prom1,1,0.0005479552696158075
Spp1,2,0.0005468921686411888
H2-Eb1,1,0.0005461371308703611
Dmrtc1a,1,0.0005456821381199962
Gm37527,2,0.0005454251960850143
Lgr6,1,0.0005446942365866958
Gpr18,1,0.0005443868033950029
Alb,1,0.0005432750231707084
Ccl5,1,0.000542253258061376
